place,place_address,station_name,station_address,distance
Torre Castelar,PASEO CASTELLANA 50,Paseo de la Castellana ,Paseo de la Castellana nº 43,109.2
Torre de Madrid,PLAZA ESPAÑA 18,Plaza de España A,Calle Princesa nº 5,82.11
Torres Blancas,AVENIDA AMERICA 37,Avenida de América 1,Calle Padre Indalecio Hernández nº 1,309.21
Tribunal Superior de Justicia,CALLE GENERAL CASTA&amp;Ntilde;OS 1,Plaza de las Salesas,Plaza de las Salesas 7,95.37
Viaducto,CALLE BAILEN 12,Segovia 26,Calle Segovia nº 26,84.58
Viviendas para Alejandro Santamaría,Calle GRAN VIA 56,Santo Domingo,Plaza de Santo Domingo nº 1,148.29
Viviendas para el Conde Artaza,Calle CABALLERO DE GRACIA 11,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,153.04
Viviendas para el conde de Godó,Calle GRAN VIA 44,Miguel Moya,Calle Miguel Moya nº 1,32.47
Viviendas para el Marqués de Cubas y Fontalba,Calle GONZALO JIMENEZ DE QUESADA 2,Desengaño,Calle Desengaño nº 1,41.56
Viviendas para el Marqués de Cubas y Fontalba,Calle GRAN VIA 30,Desengaño,Calle Desengaño nº 1,24.16
Viviendas para el marqués de Falces,Calle CONCEPCION ARENAL 2,Miguel Moya,Calle Miguel Moya nº 1,106.97
Viviendas para el marqués de Urquijo,Calle GRAN VIA 6,Sevilla,Calle Alcalá nº 27,158.75
Viviendas para el marqués de Villamayor de Santiago,Calle CABALLERO DE GRACIA 7,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,142.07
Viviendas para Fernando M. Vidales,Calle GRAN VIA 52,Miguel Moya,Calle Miguel Moya nº 1,102.94
Viviendas para José María Escriña,Calle GRAN VIA 69,Plaza de España B,Calle Princesa nº 5,99.88
Viviendas para José Pérez Pla,Calle FLOR BAJA 4,Plaza de España B,Calle Princesa nº 5,151.9
Viviendas para Juan Giralt de la Porta,Calle CABALLERO DE GRACIA 17,Sevilla,Calle Alcalá nº 27,118.96
Viviendas para la Sociedad Inmobiliaria de la Villa de Madrid. Bar Chicote.,Calle GRAN VIA 12,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,132.43
Viviendas para la Sociedad Inmobiliaria de Madrid,Calle GRAN VIA 14,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,115.51
Viviendas para Luis Ocharán Mazas,Calle CABALLERO DE GRACIA 21,Sevilla,Calle Alcalá nº 27,107.27
Viviendas para Luis y Manuel Mitjans,Calle CABALLERO DE GRACIA 13,Sevilla,Calle Alcalá nº 27,143.04
Viviendas para María Monasterio Arrillaga,Calle GRAN VIA 36,Miguel Moya,Calle Miguel Moya nº 1,127.02
Viviendas para Seguros La Estrella,Calle GRAN VIA 20,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,81.07
Viviendas para Seguros La Estrella,Calle GRAN VIA 10,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,153.39
Viviendas para Tomás Allende,Calle CABALLERO DE GRACIA 1,Tres Cruces,Calle Tres Cruces nº 7,124.39
Viviendas y comercio para Rafael Sánchez,Calle CLAVEL 4,Puerta del Sol A,Puerta del Sol nº 1,
Viviendas y comercios para Francisco Escriña,Calle GRAN VIA 71,Plaza de España B,Calle Princesa nº 5,86.09
Viviendas y oficinas,Calle GRAN VIA 45,Santo Domingo,Plaza de Santo Domingo nº 1,88.75
Viviendas y oficinas,Calle GRAN VIA 80,Plaza de España B,Calle Princesa nº 5,27.49
Viviendas y oficinas,Calle GRAN VIA 51,Santo Domingo,Plaza de Santo Domingo nº 1,98.23
Viviendas y oficinas,Calle GRAN VIA 60,San Bernardo,Calle San Bernardo nº 22,128.78
Viviendas y oficinas para el vizconde de Escoriaza,Calle GRAN VIA 22B,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,92.61
Viviendas y oficinas para Hilario Ruiz,Calle DOCTOR CARRACIDO ,Plaza de España B,Calle Princesa nº 5,121.48
Viviendas y oficinas para Jesús de Murga,Calle FUENCARRAL 2,Desengaño,Calle Desengaño nº 1,96.09
Viviendas y oficinas para Jesús Ussia y Cubas y Cine Azul,Calle GENERAL MITRE ,Plaza de España B,Calle Princesa nº 5,62.07
Viviendas y oficinas para José María Cano,Calle GRAN VIA 42,Miguel Moya,Calle Miguel Moya nº 1,55.73
Viviendas y oficinas para José María de Antonio Becerril,Calle GRAN VIA 8,Sevilla,Calle Alcalá nº 27,162.05
Viviendas y oficinas para José Pérez Pla,Calle GRAN VIA 64,San Bernardo,Calle San Bernardo nº 22,124.2
Viviendas y oficinas para Juan Miralles Sesé,Calle FLOR BAJA 2,Plaza de España B,Calle Princesa nº 5,171.99
Viviendas y oficinas para la Constructora Calpense,Calle CHINCHILLA ,Tres Cruces,Calle Tres Cruces nº 7,57.51
Viviendas y oficinas para Leopoldo García,Calle GRAN VIA 49,Santo Domingo,Plaza de Santo Domingo nº 1,91.92
Viviendas y oficinas para Rafael Calabuig,Calle GRAN VIA 58,San Bernardo,Calle San Bernardo nº 22,135.08
Viviendas y oficinas para Ramón Saiz de Carlos,Calle GRAN VIA 33,Tres Cruces,Calle Tres Cruces nº 7,142.39
Viviendas y oficinas para Santos Suárez y Compañía,Calle GRAN VIA 47,Santo Domingo,Plaza de Santo Domingo nº 1,82.74
Viviendas y oficinas para Seguros La Estrella,Calle CABALLERO DE GRACIA 15,Sevilla,Calle Alcalá nº 27,129.1
Viviendas y teatro Fontalba para el marqués de Cubas y Fontalba,Calle DESENGAÑO 3,Desengaño,Calle Desengaño nº 1,26.56
Zoo Aquarium de Madrid,COMPLEJO ZOOLOGICO DE LA CASA CAMPO ,Caramuel,Calle Caramuel nº 51,2794.57
