address,dock_bikes,geometry
"C Juan Ignacio Luca de Tena, 13,",11,"{'type': 'Point', 'coordinates': [-3.63110255, 40.44796778]}"
"Eugenia de Montijo, 57,",10,"{'type': 'Point', 'coordinates': [-3.74706068, 40.3791024]}"
"Plaza de la Parroquia , 20,",9,"{'type': 'Point', 'coordinates': [-3.7415832, 40.3802446]}"
"Calle Maria de Maeztu, 50,",6,"{'type': 'Point', 'coordinates': [-3.72757227, 40.49093014]}"
"Calle San Mariano, 58,",17,"{'type': 'Point', 'coordinates': [-3.61190481, 40.44175279]}"
"Calle de Tampico, 71,",7,"{'type': 'Point', 'coordinates': [-3.635345, 40.444569]}"
"Calle Joaquin Turina, 49,",0,"{'type': 'Point', 'coordinates': [-3.76182, 40.372458]}"
"Calle Lonja de la Seda, 33,",9,"{'type': 'Point', 'coordinates': [-3.76158263, 40.36612215]}"
"Calle Salvador Allende, 26,",3,"{'type': 'Point', 'coordinates': [-3.75787005, 40.36277848]}"
"Calle del Dinero, 38,",4,"{'type': 'Point', 'coordinates': [-3.7501466, 40.3625707]}"
"Calle Calderilla, 4,",3,"{'type': 'Point', 'coordinates': [-3.7386603, 40.3651497]}"
"Av.Ventisquero de la Condesa, 39,",2,"{'type': 'Point', 'coordinates': [-3.71622921, 40.49108225]}"
"Glorieta de Embajadores nº 2,",4,"{'type': 'Point', 'coordinates': [-3.7020566, 40.4054815]}"
"Plaza de Carlos Cambronero nº 2,",3,"{'type': 'Point', 'coordinates': [-3.704166, 40.423126]}"
"Plaza del Cordón,",3,"{'type': 'Point', 'coordinates': [-3.7103285, 40.4141931]}"
"Plaza de Jacinto Benavente,",5,"{'type': 'Point', 'coordinates': [-3.7036825, 40.4146755]}"
"Calle Valencia nº 1,",3,"{'type': 'Point', 'coordinates': [-3.700754126389314, 40.40830870823806]}"
"Plaza de la Provincia nº 1,",12,"{'type': 'Point', 'coordinates': [-3.7061032, 40.4150099]}"
"Calle Doctor Esquerdo nº 161,",15,"{'type': 'Point', 'coordinates': [-3.6697526, 40.4084556]}"
"Calle Jacometrezo nº 3,",0,"{'type': 'Point', 'coordinates': [-3.7065376, 40.4200783]}"
"Calle Hortaleza nº 63,",5,"{'type': 'Point', 'coordinates': [-3.698447, 40.424148]}"
"Calle Prim nº 2,",1,"{'type': 'Point', 'coordinates': [-3.6954983, 40.4218616]}"
"Calle Alcalá nº 27,",7,"{'type': 'Point', 'coordinates': [-3.6984583, 40.41806]}"
"Paseo de Recoletos nº 20,",4,"{'type': 'Point', 'coordinates': [-3.690756, 40.4232153]}"
"Calle Mayor nº 20,",10,"{'type': 'Point', 'coordinates': [-3.7068969, 40.4163638]}"
"Calle Atocha nº 54,",6,"{'type': 'Point', 'coordinates': [-3.6991147, 40.4122047]}"
"Calle Alcántara nº 2,",5,"{'type': 'Point', 'coordinates': [-3.6740178, 40.4260391]}"
"Calle Espíritu Santo nº 30,",2,"{'type': 'Point', 'coordinates': [-3.7043418, 40.4255495]}"
"Calle Carlos III nº 1,",9,"{'type': 'Point', 'coordinates': [-3.7106495, 40.417767]}"
"Calle Manuela Malasaña nº 5,",8,"{'type': 'Point', 'coordinates': [-3.7025, 40.4286259]}"
"Calle Pavía nº 6,",10,"{'type': 'Point', 'coordinates': [-3.711504, 40.4192095]}"
"Plaza del Conde del Valle de Súchil nº 3,",2,"{'type': 'Point', 'coordinates': [-3.7072537, 40.4303223]}"
"Glorieta de Embajadores nº 6,",2,"{'type': 'Point', 'coordinates': [-3.7027998, 40.4045772]}"
"Plaza de Santa Ana nº 10,",8,"{'type': 'Point', 'coordinates': [-3.7007164, 40.4144226]}"
"Calle Santa Isabel nº 57,",8,"{'type': 'Point', 'coordinates': [-3.6933463, 40.4083684]}"
"Calle Goya nº 99,",12,"{'type': 'Point', 'coordinates': [-3.67384, 40.42478]}"
"Plaza de Alonso Martínez nº 5,",3,"{'type': 'Point', 'coordinates': [-3.6954403, 40.4278682]}"
"Plaza Cibeles,",7,"{'type': 'Point', 'coordinates': [-3.6933498, 40.4186516]}"
"Plaza de la Cebada nº 16 ,",15,"{'type': 'Point', 'coordinates': [-3.7088337, 40.4112744]}"
"Calle Lavapiés nº 34,",4,"{'type': 'Point', 'coordinates': [-3.702471, 40.4100387]}"
"Plaza de San Ildefonso,",5,"{'type': 'Point', 'coordinates': [-3.7020842, 40.4239757]}"
